cell,sym,strategy,bar_close,action,price,qty,pnl,cost,direction,funding
E21,ADA,MR,1787940000000,enter,0.203,7838.478072492173,0.0,1.7503321535875023,1,0.0
E19,HEMI,BRK24,1787947200000,funding,0.01164,21575.12138442413,-0.012556720645734841,0.0,1,-0.012556720645734841
E20,HEMI,BRK24GATE,1787947200000,funding,0.01164,23070.99252103557,-0.013427317647242702,0.0,1,-0.013427317647242702
E20,ONDO,BRK24GATE,1787947200000,funding,0.3525,3395.6181289977376,0.058076275545687006,0.0,-1,0.058076275545687006
E20,XAU,BRK24GATE,1787947200000,funding,4464.61,0.8043021418792372,1.1314193181123227,0.0,-1,1.1314193181123227
E21,HEMI,MR,1787947200000,funding,0.01164,33112.51013092654,0.019271480896199244,0.0,-1,0.019271480896199244
E21,HEMI,MR,1787958000000,exit_signal,0.01134,33112.51013092654,70.03295892690964,0.4130454513731776,-1,0.0
E21,AKE,MR,1787958000000,enter,0.009874,49109.30748267451,0.0,0.533395832292321,-1,0.0
E19,1000PEPE,BRK24,1787961600000,funding,0.003691,295976.1534995313,0.06602755606633558,0.0,-1,0.06602755606633558
E19,AAVE,BRK24,1787961600000,funding,122.11,9.447852096988907,0.10609215711104247,0.0,-1,0.10609215711104247
E19,BTC,BRK24,1787961600000,funding,77809.8,0.033106580654659046,0.2313520346283697,0.0,-1,0.2313520346283697
E19,DOGE,BRK24,1787961600000,funding,0.08519,17089.0443586494,0.04077739744646272,0.0,-1,0.04077739744646272
E19,ETH,BRK24,1787961600000,funding,2441.64,0.8417766494461334,0.023697788157217663,0.0,-1,0.023697788157217663
E19,HEMI,BRK24,1787961600000,funding,0.01134,21575.12138442413,-0.01223309382496848,0.0,1,-0.01223309382496848
E20,HEMI,BRK24GATE,1787961600000,funding,0.01134,23070.99252103557,-0.013081252759427169,0.0,1,-0.013081252759427169
E20,NEAR,BRK24GATE,1787961600000,funding,1.824,608.0108339418002,0.11090117611098438,0.0,-1,0.11090117611098438
E20,ONDO,BRK24GATE,1787961600000,funding,0.3557,3395.6181289977376,-0.07243304746801518,0.0,-1,-0.07243304746801518
E20,XAU,BRK24GATE,1787961600000,funding,4467.46,0.8043021418792372,0.478217343907264,0.0,-1,0.478217343907264
E20,1000PEPE,BRK24GATE,1787961600000,funding,0.003691,265250.04670305725,0.05917305202870668,0.0,-1,0.05917305202870668
E20,AAVE,BRK24GATE,1787961600000,funding,122.11,8.214122525866928,0.09223831709022683,0.0,-1,0.09223831709022683
E21,SNDK,MR,1787961600000,funding,1483.89,1.3013410217280594,0.13716226334783752,0.0,-1,0.13716226334783752
E21,1000PEPE,MR,1787961600000,funding,0.003691,402274.36396538833,-0.08974099030182925,0.0,1,-0.08974099030182925
E21,AAVE,MR,1787961600000,funding,122.11,12.70489397533689,-0.1426662477220785,0.0,1,-0.1426662477220785
E21,ADA,MR,1787961600000,funding,0.2029,7838.478072492173,-0.023061194413175598,0.0,1,-0.023061194413175598
E21,AKE,MR,1787961600000,funding,0.011132,49109.30748267451,0.02733424054485663,0.0,-1,0.02733424054485663
