trial_id,tf,entry,filt,spacing,kmax,tp,stop,conv,cum,ann,sharpe,mdd,calmar,req_cum,is_cum,is_sharpe,is_mdd,oos_cum,oos_sharpe,oos_mdd,n_trades,n_wins,n_B,n_A,n_Ap,heat_blocked,time_viol,win_rate
CT|e=E1|f=0|sp=1|k=2|tp=A2.0|sl=-|cv=gateA|1h,1h,E1,0,1.0,2,A2.0,,gateA,-0.03010431538859515,-0.005411794215281485,-0.008424188383383635,-0.20790878418021008,-0.026029656402543715,-0.03878147316561986,0.0057780689583675215,0.062178853887442785,-0.20790878418021008,-0.03567624454579876,-0.1648062461193598,-0.15512646272552377,105,102,0,56,49,0,0,0.9714285714285714
CT|e=E1|f=0|sp=1|k=2|tp=A2.0|sl=6|cv=gateA|1h,1h,E1,0,1.0,2,A2.0,6.0,gateA,-0.23472778097509228,-0.046383097537672,-0.7862290426076431,-0.25358211870252745,-0.18291154666186524,-0.22229092945936946,-0.13897134514984688,-0.5712103293711488,-0.17071693248176512,-0.1112116713954312,-1.498853239921872,-0.12265246494329474,1152,878,0,701,451,0,0,0.7621527777777778
CT|e=E1|f=0|sp=1|k=2|tp=A2.0|sl=10|cv=gateA|1h,1h,E1,0,1.0,2,A2.0,10.0,gateA,-0.21100659358330054,-0.04120111533769477,-0.5256741131181477,-0.2277277998769277,-0.18092264255818277,-0.22067855730196528,-0.14097207189742877,-0.43631059199525957,-0.21854623941664864,-0.08152764234401932,-0.8298136538977959,-0.10607129354523104,934,780,0,539,395,0,0,0.8351177730192719
CT|e=E1|f=0|sp=1|k=3|tp=MID|sl=-|cv=gateA|1h,1h,E1,0,1.0,3,MID,,gateA,-0.15350982469834562,-0.029153031322223244,-0.6462422705165182,-0.16278047092218972,-0.17909415765333797,-0.2199349529442085,-0.0881415973895403,-0.4542036331253974,-0.11601696067487022,-0.07168681795514475,-1.3842727877409213,-0.07965467389915737,1562,1180,0,947,615,0,0,0.7554417413572343
CT|e=E1|f=0|sp=1|k=3|tp=MID|sl=6|cv=gateA|1h,1h,E1,0,1.0,3,MID,6.0,gateA,-0.23543770387143592,-0.04654020784257751,-1.1052724278623551,-0.24265511224772784,-0.1917957030102229,-0.23211187612018502,-0.16740837149797194,-0.978003761862623,-0.18261399901813125,-0.08170792264133198,-1.6019292629949717,-0.09070524678394809,1627,1214,0,994,633,0,0,0.746158574062692
CT|e=E1|f=0|sp=1|k=3|tp=MID|sl=10|cv=gateA|1h,1h,E1,0,1.0,3,MID,10.0,gateA,-0.2191106320770756,-0.04295688463857916,-0.8898295557004589,-0.22614302034232092,-0.18995450124241625,-0.23015355314429708,-0.12213069215153483,-0.6283085897709686,-0.13458544380678372,-0.11047195642734908,-1.6347176794759495,-0.11743737289113776,1579,1190,0,960,619,0,0,0.7536415452818239
CT|e=E1|f=0|sp=1|k=3|tp=A0.5|sl=-|cv=gateA|1h,1h,E1,0,1.0,3,A0.5,,gateA,0.011609092240777885,0.002051182353830283,0.07538051715409187,-0.270737712722773,0.007576271267130893,0.014168760142927228,0.11168618575242717,0.29597578288588816,-0.270737712722773,-0.09002279131850055,-0.39078923129223925,-0.19541003466992446,512,507,0,299,213,0,0,0.990234375
CT|e=E1|f=0|sp=1|k=3|tp=A0.5|sl=6|cv=gateA|1h,1h,E1,0,1.0,3,A0.5,6.0,gateA,-0.29700507464569303,-0.060645441288552204,-1.3889483784769663,-0.3054367409189199,-0.19855319666552793,-0.24010307004748788,-0.17817635806055843,-1.0396627695712872,-0.18973294986668432,-0.1445915042121546,-2.4049790405903213,-0.15508793589693648,1718,1558,0,1052,666,0,0,0.9068684516880093
CT|e=E1|f=0|sp=1|k=3|tp=A0.5|sl=10|cv=gateA|1h,1h,E1,0,1.0,3,A0.5,10.0,gateA,-0.2800388035060908,-0.05666011004504057,-0.9668781730924042,-0.31293349921140456,-0.18106118452586442,-0.2203897500345423,-0.15489401991520502,-0.6892576894630768,-0.20382181658858456,-0.14808176316339583,-1.6470292597879144,-0.16507307502320578,1608,1519,0,967,641,0,0,0.9446517412935324
CT|e=E1|f=0|sp=1|k=3|tp=A1.0|sl=-|cv=gateA|1h,1h,E1,0,1.0,3,A1.0,,gateA,0.06753918609123843,0.011670199690940963,0.15633902942548325,-0.266676692134452,0.04376160360147684,0.06439007944976716,0.16129141664089053,0.3769913614105373,-0.266676692134452,-0.08073101136046801,-0.332342026862705,-0.19415135716782972,353,350,0,197,156,0,0,0.9915014164305949
