rule_id,family,params,exit_code,direction,tf,sharpe_ann,sharpe_daily,n_trades,cum_return,mdd,cost_usd,funding_usd,halt_days,is_sharpe_ann,oos_sharpe_ann
"R-B|lb=50,th=2|X3|L|1h",R-B,"lb=50,th=2.0",X3,L,1h,-1.8143462661771803,-0.09496722395793677,2852,-0.9760105741798558,0.9785748744652947,3041.499245331636,-201.94943652540064,99,-1.9744031110771916,-1.516050835161642
"R-B|lb=50,th=2|X3|S|1h",R-B,"lb=50,th=2.0",X3,S,1h,-1.5421450455706245,-0.08071956089556402,2868,-0.9537835418538761,0.9616419924492475,6117.17920310871,413.6912352127299,89,-1.6317641828576948,-1.3758038138578041
"R-B|lb=50,th=2|X3|LS|1h",R-B,"lb=50,th=2.0",X3,LS,1h,-2.5321395930701587,-0.132538243835077,5700,-0.9990581983170023,0.9991246861467737,4169.916629644442,-4.626189282037523,181,-2.7247670175233534,-2.185678502143618
"R-B|lb=50,th=2|X4|L|1h",R-B,"lb=50,th=2.0",X4,L,1h,-0.48524493237104616,-0.025398880591867595,2788,-0.6118495216072178,0.6618498817014797,4408.684304996799,-180.05922785995236,48,-0.39523352633733355,-0.6944317427504115
"R-B|lb=50,th=2|X4|S|1h",R-B,"lb=50,th=2.0",X4,S,1h,-1.3212342040839,-0.0691565589761954,2818,-0.8488069026144043,0.8671683028884449,2966.9034842859046,201.84675043274964,28,-1.803392694407348,-0.30086088678779027
"R-B|lb=50,th=2|X4|LS|1h",R-B,"lb=50,th=2.0",X4,LS,1h,-1.2590376497808764,-0.065901042533707,5594,-0.9410695174158441,0.9458806844483097,3972.862020377519,76.961453921507,72,-1.5199290632574038,-0.7010051479451329
"R-B|lb=50,th=2|X5|L|1h",R-B,"lb=50,th=2.0",X5,L,1h,-0.3008073109009879,-0.015744974261560903,2484,-0.590342993322795,0.6418873937723295,4170.284684774669,-242.52595113147117,66,-0.10841569820810823,-0.7714258955273345
"R-B|lb=50,th=2|X5|S|1h",R-B,"lb=50,th=2.0",X5,S,1h,-1.0116934707777856,-0.05295445649334163,2530,-0.8242722774885812,0.8735580218581289,3321.6120414829356,293.8491369056782,41,-1.4956035905401748,-0.0071093414309582395
"R-B|lb=50,th=2|X5|LS|1h",R-B,"lb=50,th=2.0",X5,LS,1h,-0.8922697794381392,-0.046703534796221566,5004,-0.928231136334425,0.9344450512441482,4448.063815307218,157.5132792275129,101,-1.0388390237609022,-0.5728489451670181
"R-B|lb=50,th=2.5|X1|L|1h",R-B,"lb=50,th=2.5",X1,L,1h,-0.2958977772445714,-0.015487997525107884,1698,-0.5615840105235237,0.6288190618117417,2827.5359822449423,-148.94533292886626,54,-0.16576449035988947,-0.6392972030869073
"R-B|lb=50,th=2.5|X1|S|1h",R-B,"lb=50,th=2.5",X1,S,1h,-1.1116825088399231,-0.05818812194519225,1700,-0.8271512270161268,0.8726111311467782,2571.0075747409296,311.7606521546935,44,-1.3672021378965458,-0.6105804693862082
"R-B|lb=50,th=2.5|X1|LS|1h",R-B,"lb=50,th=2.5",X1,LS,1h,-0.9251376188253351,-0.04842391613813268,3396,-0.9214336761206637,0.9342658050269261,3490.621405627318,202.10180713772615,95,-0.9540481450079112,-0.8691875338186869
"R-B|lb=50,th=2.5|X2|L|1h",R-B,"lb=50,th=2.5",X2,L,1h,-0.7150152890927416,-0.037425610732889844,1820,-0.7053140986356319,0.7558785817572982,2776.7595044993036,-113.29784878967857,48,-0.4478703204767237,-1.3299907898700176
"R-B|lb=50,th=2.5|X2|S|1h",R-B,"lb=50,th=2.5",X2,S,1h,-1.1332250835703317,-0.059315711842000574,1836,-0.7912853061961024,0.8472829067526497,2940.010647383528,273.3718625430949,36,-1.251974032441997,-0.8994687745349766
"R-B|lb=50,th=2.5|X2|LS|1h",R-B,"lb=50,th=2.5",X2,LS,1h,-1.303021742451608,-0.06820327516543559,3582,-0.9329873427693813,0.9510516257045531,4122.151409553752,170.06296917755662,79,-1.145668943116629,-1.6263416303013976
"R-B|lb=50,th=2.5|X3|L|1h",R-B,"lb=50,th=2.5",X3,L,1h,-1.6187907712553664,-0.08473138153433213,1994,-0.9406228705094397,0.950029964375151,3006.6317384062504,-198.10711887236965,68,-1.6668014391264316,-1.5277999361052552
"R-B|lb=50,th=2.5|X3|S|1h",R-B,"lb=50,th=2.5",X3,S,1h,-1.740172077093304,-0.0910847694574137,2044,-0.9461359845111071,0.9545484768893147,3928.9952412627927,322.3590078775488,55,-1.8327808230278868,-1.5620159157713527
"R-B|lb=50,th=2.5|X3|LS|1h",R-B,"lb=50,th=2.5",X3,LS,1h,-2.443657153409477,-0.12790686127032241,4032,-0.9970756180979168,0.9974043509821462,3442.0624359409885,22.20945240466446,118,-2.5429675010438055,-2.2574414214754204
"R-B|lb=50,th=2.5|X4|L|1h",R-B,"lb=50,th=2.5",X4,L,1h,-0.08424540588723912,-0.004409606080970339,1924,-0.2220535616602758,0.36424996938925647,4525.444136480065,-174.63276418920654,28,0.0017381117110563226,-0.2595429779400394
"R-B|lb=50,th=2.5|X4|S|1h",R-B,"lb=50,th=2.5",X4,S,1h,-1.3762764510868457,-0.07203760185964152,1932,-0.791645339946134,0.8168334495437486,2497.412824887077,247.62080085363533,21,-1.675380267333635,-0.7544676073775596
"R-B|lb=50,th=2.5|X4|LS|1h",R-B,"lb=50,th=2.5",X4,LS,1h,-0.9701074092070238,-0.050777742546097,3854,-0.8351048083759115,0.8531533321655556,4533.105414518258,150.96496997579723,48,-1.1258440311710418,-0.6561143889762757
"R-B|lb=50,th=2.5|X5|L|1h",R-B,"lb=50,th=2.5",X5,L,1h,-0.2636198300947559,-0.013798492554076282,1806,-0.45869391476211263,0.5402737898551225,3636.5297989020382,-151.99389547512934,46,0.005735496868704501,-0.902019042933231
